17,B5,FALSE,CRII2020_UM_Ac42y,A,UNKNOWN,SYBR,None,19.44715690612793,19.222536087036133,0.3176618218421936,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.54698407412879868,N,N,N,N,Y,N,87.700180053710938,,,
18,B6,FALSE,CRII2020_UM_Ac42y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,76.502395629882812,,,
19,B7,FALSE,CRII2020_NEC2,Acer,UNKNOWN,SYBR,None,Undetermined,34.242263793945312,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,N,80.775230407714844,89.173568725585938,92.8570556640625,86.668800354003906
20,B8,FALSE,CRII2020_NEC2,A,UNKNOWN,SYBR,None,28.688217163085938,28.721683502197266,0.047329898923635483,,,,,,,,FALSE,0.01,TRUE,3,28,Amp,,0.30871756922025717,N,N,N,N,Y,N,87.994857788085938,,,
21,B9,FALSE,CRII2020_NEC2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,76.649734497070312,,,
22,B10,FALSE,CRII2020_NEC2,Acer,UNKNOWN,SYBR,None,34.242263793945312,34.242263793945312,,,,,,,,,FALSE,0.01,TRUE,3,32,Inconclusive,,0.85908402001656681,N,N,N,N,N,N,76.355056762695312,,,
23,B11,FALSE,CRII2020_NEC2,A,UNKNOWN,SYBR,None,28.755151748657227,28.721683502197266,0.047329898923635483,,,,,,,,FALSE,0.01,TRUE,3,27,Amp,,0.46409408044470973,N,N,N,N,Y,N,87.847518920898438,,,
24,B12,FALSE,CRII2020_NEC2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,74.586982727050781,,,
25,C1,FALSE,CRII2020_FWC_AcML41,Acer,UNKNOWN,SYBR,None,18.504556655883789,18.603466033935547,0.13987898826599121,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.4237373680106753,N,N,N,N,Y,N,75.176345825195312,,,
26,C2,FALSE,CRII2020_FWC_AcML41,A,UNKNOWN,SYBR,None,20.418167114257812,20.597114562988281,0.25306856632232666,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.31401661550800769,N,N,N,N,Y,N,87.552841186523438,,,
27,C3,FALSE,CRII2020_FWC_AcML41,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,75.176345825195312,,,
28,C4,FALSE,CRII2020_FWC_AcML41,Acer,UNKNOWN,SYBR,None,18.702375411987305,18.603466033935547,0.13987898826599121,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.47889853259327142,N,N,N,N,Y,N,75.323684692382812,,,
29,C5,FALSE,CRII2020_FWC_AcML41,A,UNKNOWN,SYBR,None,20.776060104370117,20.597114562988281,0.25306856632232666,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.40036432707099928,N,N,N,N,Y,N,87.700180053710938,,,
30,C6,FALSE,CRII2020_FWC_AcML41,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,75.029006958007812,,,
31,C7,FALSE,CRII2020_Mote_AcML78,Acer,UNKNOWN,SYBR,None,18.584524154663086,18.463945388793945,0.17052412033081055,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.42820923304261932,N,N,N,N,Y,N,75.176345825195312,,,
32,C8,FALSE,CRII2020_Mote_AcML78,A,UNKNOWN,SYBR,None,21.224210739135742,21.844528198242188,0.87726002931594849,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.24352860866946488,N,N,N,N,Y,Y,87.700180053710938,,,
33,C9,FALSE,CRII2020_Mote_AcML78,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,77.091751098632812,,,
34,C10,FALSE,CRII2020_Mote_AcML78,Acer,UNKNOWN,SYBR,None,18.343366622924805,18.463945388793945,0.17052412033081055,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.398623858316147,N,N,N,N,Y,N,75.323684692382812,,,
35,C11,FALSE,CRII2020_Mote_AcML78,A,UNKNOWN,SYBR,None,22.46484375,21.844528198242188,0.87726002931594849,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.40870784541584493,N,N,N,N,Y,Y,87.552841186523438,,,
36,C12,FALSE,CRII2020_Mote_AcML78,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,74.439643859863281,,,
37,D1,FALSE,CRII2020_RRT_Ac123,Acer,UNKNOWN,SYBR,None,19.771249771118164,19.545751571655273,0.31890261173248291,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.51385694739418974,N,N,N,N,Y,N,75.176345825195312,,,
38,D2,FALSE,CRII2020_RRT_Ac123,A,UNKNOWN,SYBR,None,25.967350006103516,25.919300079345703,0.067951507866382599,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.40750848457943956,Y,N,N,N,Y,N,84.311370849609375,87.405502319335938,,
39,D3,FALSE,CRII2020_RRT_Ac123,D,UNKNOWN,FAM,NFQ-MGB,24.14483642578125,24.335792541503906,0.27005273103713989,,,,,,,,FALSE,0.01,TRUE,3,23,Amp,,0.35968659331016334,N,N,N,N,Y,N,80.333213806152344,,,
40,D4,FALSE,CRII2020_RRT_Ac123,Acer,UNKNOWN,SYBR,None,19.320253372192383,19.545751571655273,0.31890261173248291,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.45452323862603861,N,N,N,N,Y,N,75.323684692382812,,,
41,D5,FALSE,CRII2020_RRT_Ac123,A,UNKNOWN,SYBR,None,25.871252059936523,25.919300079345703,0.067951507866382599,,,,,,,,FALSE,0.01,TRUE,3,25,Amp,,0.40883367390182651,N,N,N,N,Y,N,84.458709716796875,,,
42,D6,FALSE,CRII2020_RRT_Ac123,D,UNKNOWN,FAM,NFQ-MGB,24.526748657226562,24.335792541503906,0.27005273103713989,,,,,,,,FALSE,0.01,TRUE,3,23,Amp,,0.41916059525352067,N,N,N,N,Y,N,61.768470764160156,,,
43,D7,FALSE,CRII2020_Mote_AcML31,Acer,UNKNOWN,SYBR,None,17.991382598876953,17.949840545654297,0.058750685304403305,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.47206320794012174,N,N,N,N,Y,N,75.323684692382812,,,
44,D8,FALSE,CRII2020_Mote_AcML31,A,UNKNOWN,SYBR,None,20.668970108032227,20.651725769042969,0.024388527497649193,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.41531289166393603,N,N,N,N,Y,N,87.700180053710938,,,
45,D9,FALSE,CRII2020_Mote_AcML31,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,76.060379028320312,,,
46,D10,FALSE,CRII2020_Mote_AcML31,Acer,UNKNOWN,SYBR,None,17.908296585083008,17.949840545654297,0.058750685304403305,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.46459943800808073,N,N,N,N,Y,N,75.323684692382812,,,
47,D11,FALSE,CRII2020_Mote_AcML31,A,UNKNOWN,SYBR,None,20.634479522705078,20.651725769042969,0.024388527497649193,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.44368129988090454,N,N,N,N,Y,N,87.552841186523438,,,
48,D12,FALSE,CRII2020_Mote_AcML31,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,23,No Amp,,0,N,N,N,Y,Y,N,74.439643859863281,,,
49,E1,FALSE,CRII2020_RRT_Ac122,Acer,UNKNOWN,SYBR,None,19.580577850341797,19.545841217041016,0.049126368016004562,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.47411525593582871,N,N,N,N,Y,N,75.029006958007812,,,
50,E2,FALSE,CRII2020_RRT_Ac122,A,UNKNOWN,SYBR,None,19.098215103149414,19.203947067260742,0.14952757954597473,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.30289887403896182,N,N,N,N,Y,N,87.552841186523438,,,
51,E3,FALSE,CRII2020_RRT_Ac122,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,75.029006958007812,,,
52,E4,FALSE,CRII2020_RRT_Ac122,Acer,UNKNOWN,SYBR,None,19.511102676391602,19.545841217041016,0.049126368016004562,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.42146222978741615,N,N,N,N,Y,N,75.323684692382812,,,
53,E5,FALSE,CRII2020_RRT_Ac122,A,UNKNOWN,SYBR,None,19.30967903137207,19.203947067260742,0.14952757954597473,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.35278946759401886,N,N,N,N,Y,N,87.552841186523438,,,
54,E6,FALSE,CRII2020_RRT_Ac122,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,75.176345825195312,,,
55,E7,FALSE,CRII2020_RRT_AcFM5,Acer,UNKNOWN,SYBR,None,19.338788986206055,19.682388305664062,0.48592415452003479,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.52317191599965107,N,N,N,N,Y,N,75.176345825195312,,,
56,E8,FALSE,CRII2020_RRT_AcFM5,A,UNKNOWN,SYBR,None,19.626588821411133,19.747959136962891,0.1716448962688446,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.3821867383653253,N,N,N,N,Y,N,87.700180053710938,,,
57,E9,FALSE,CRII2020_RRT_AcFM5,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,3.6238269805908203,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,79.449180603027344,,,
58,E10,FALSE,CRII2020_RRT_AcFM5,Acer,UNKNOWN,SYBR,None,20.025989532470703,19.682388305664062,0.48592415452003479,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.52455505787342704,N,N,N,N,Y,N,75.765701293945312,,,
59,E11,FALSE,CRII2020_RRT_AcFM5,A,UNKNOWN,SYBR,None,19.869331359863281,19.747959136962891,0.1716448962688446,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.38485186598172971,N,N,N,N,Y,N,87.552841186523438,,,
60,E12,FALSE,CRII2020_RRT_AcFM5,D,UNKNOWN,FAM,NFQ-MGB,3.6238269805908203,3.6238269805908203,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,Y,N,Y,N,60.000400543212891,,,
61,F1,FALSE,CRII2020_RRT_AcFM6B,Acer,UNKNOWN,SYBR,None,19.73321533203125,19.829862594604492,0.13667987287044525,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.35323270956428421,N,N,N,N,Y,N,75.029006958007812,,,
62,F2,FALSE,CRII2020_RRT_AcFM6B,A,UNKNOWN,SYBR,None,19.83592414855957,19.357629776000977,0.67641037702560425,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.44578251552458981,N,N,N,N,Y,Y,87.552841186523438,,,
63,F3,FALSE,CRII2020_RRT_AcFM6B,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,75.323684692382812,,,
64,F4,FALSE,CRII2020_RRT_AcFM6B,Acer,UNKNOWN,SYBR,None,19.926509857177734,19.829862594604492,0.13667987287044525,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.37412421158750475,N,N,N,N,Y,N,75.176345825195312,,,
65,F5,FALSE,CRII2020_RRT_AcFM6B,A,UNKNOWN,SYBR,None,18.879335403442383,19.357629776000977,0.67641037702560425,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.28572321416731294,N,N,N,N,Y,Y,87.552841186523438,,,
66,F6,FALSE,CRII2020_RRT_AcFM6B,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,76.649734497070312,,,
67,F7,FALSE,CRII2020_Mote_AcML56,Acer,UNKNOWN,SYBR,None,18.455633163452148,18.486761093139648,0.044021539390087128,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.39572780915881661,N,N,N,N,Y,N,75.323684692382812,,,
68,F8,FALSE,CRII2020_Mote_AcML56,A,UNKNOWN,SYBR,None,20.90009880065918,21.161396026611328,0.3695300817489624,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.43052769901637788,N,N,N,N,Y,N,87.700180053710938,,,
69,F9,FALSE,CRII2020_Mote_AcML56,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,76.355056762695312,,,
70,F10,FALSE,CRII2020_Mote_AcML56,Acer,UNKNOWN,SYBR,None,18.517889022827148,18.486761093139648,0.044021539390087128,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.39593263466311718,N,N,N,N,Y,N,75.176345825195312,,,
71,F11,FALSE,CRII2020_Mote_AcML56,A,UNKNOWN,SYBR,None,21.422693252563477,21.161396026611328,0.3695300817489624,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.53934063967456747,N,N,N,N,Y,N,87.552841186523438,,,
72,F12,FALSE,CRII2020_Mote_AcML56,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,73.997627258300781,,,
73,G1,FALSE,CRII2020_Mote_AcML63,Acer,UNKNOWN,SYBR,None,18.61503791809082,18.456577301025391,0.22409714758396149,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.50839706493396164,N,N,N,N,Y,N,75.029006958007812,,,
74,G2,FALSE,CRII2020_Mote_AcML63,A,UNKNOWN,SYBR,None,20.489471435546875,20.337379455566406,0.21509188413619995,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.4843149133617049,N,N,N,N,Y,N,87.405502319335938,,,
75,G3,FALSE,CRII2020_Mote_AcML63,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,75.176345825195312,,,
76,G4,FALSE,CRII2020_Mote_AcML63,Acer,UNKNOWN,SYBR,None,18.298116683959961,18.456577301025391,0.22409714758396149,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.42211136813568623,N,N,N,N,Y,N,75.323684692382812,,,
77,G5,FALSE,CRII2020_Mote_AcML63,A,UNKNOWN,SYBR,None,20.185285568237305,20.337379455566406,0.21509188413619995,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.46170515840782539,N,N,N,N,Y,N,87.552841186523438,,,
78,G6,FALSE,CRII2020_Mote_AcML63,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,8,No Amp,,0,N,N,N,Y,Y,N,79.007164001464844,,,
79,G7,FALSE,CRII2020_FWC_AcML5,Acer,UNKNOWN,SYBR,None,19.228847503662109,19.051542282104492,0.2507474422454834,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.64266892537444187,N,N,N,N,Y,N,75.176345825195312,,,
80,G8,FALSE,CRII2020_FWC_AcML5,A,UNKNOWN,SYBR,None,19.945444107055664,20.270584106445312,0.45981740951538086,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.41556101561194375,N,N,N,N,Y,N,87.700180053710938,,,
81,G9,FALSE,CRII2020_FWC_AcML5,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,75.765701293945312,,,
82,G10,FALSE,CRII2020_FWC_AcML5,Acer,UNKNOWN,SYBR,None,18.874237060546875,19.051542282104492,0.2507474422454834,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.41181895435416038,N,N,N,N,Y,N,75.323684692382812,,,
83,G11,FALSE,CRII2020_FWC_AcML5,A,UNKNOWN,SYBR,None,20.595724105834961,20.270584106445312,0.45981740951538086,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.59583421516323787,N,N,N,N,Y,N,87.552841186523438,,,
84,G12,FALSE,CRII2020_FWC_AcML5,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,74.734321594238281,,,
85,H1,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,60.442417144775391,,,
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,39.483005523681641,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,N,79.154502868652344,88.289535522460938,91.383659362792969,82.985321044921875
87,H3,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,77.386428833007812,,,
88,H4,FALSE,CRII2020_CRF_Ac69,Acer,UNKNOWN,SYBR,None,18.415725708007812,18.360496520996094,0.078104518353939056,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.48903531996739186,N,N,N,N,Y,N,75.176345825195312,,,
89,H5,FALSE,CRII2020_CRF_Ac69,A,UNKNOWN,SYBR,None,19.383867263793945,19.593208312988281,0.29605430364608765,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.28856897340773952,N,N,N,N,Y,N,87.700180053710938,,,
90,H6,FALSE,CRII2020_CRF_Ac69,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,Y,N,76.355056762695312,,,
91,H7,FALSE,CRII2020_CRF_Ac69,Acer,UNKNOWN,SYBR,None,18.305269241333008,18.360496520996094,0.078104518353939056,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.44519316098816952,N,N,N,N,Y,N,75.176345825195312,,,
