15,B3,FALSE,CRII2020_RRT_AcML31,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0372039079666138,-0.00079123262548819184,77.370269775390625,,,,Y,Y,N,N,Y
16,B4,FALSE,CRII2020_RRT_AcML31,Acer,UNKNOWN,SYBR,None,18.696439743041992,18.594383239746094,0.14432969689369202,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.34600419492820589,3.5461301803588867,3.133418083190918,75.440322875976562,,,,Y,N,N,N,N
17,B5,FALSE,CRII2020_RRT_AcML31,A,UNKNOWN,SYBR,None,18.874801635742188,19.275039672851562,0.56602072715759277,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.34939489291533521,3.9125955104827881,3.4523236751556396,87.613861083984375,,,,Y,N,Y,N,N
18,B6,FALSE,CRII2020_RRT_AcML31,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.99759781360626221,-0.00076073221862316132,77.370269775390625,,,,Y,Y,N,N,Y
19,B7,FALSE,CRII2020_RRT_AcML34,Acer,UNKNOWN,SYBR,None,19.079534530639648,19.342300415039062,0.37160706520080566,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.38793070609068286,3.4879434108734131,3.0887072086334229,75.291862487792969,,,,Y,N,N,N,N
20,B8,FALSE,CRII2020_RRT_AcML34,A,UNKNOWN,SYBR,None,18.583145141601562,19.210235595703125,0.88683980703353882,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.22876197253207231,3.8542919158935547,3.5109772682189941,87.762321472167969,,,,Y,N,Y,N,N
21,B9,FALSE,CRII2020_RRT_AcML34,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0292768478393555,0.0010268260957673192,77.667190551757812,,,,Y,Y,N,N,Y
22,B10,FALSE,CRII2020_RRT_AcML34,Acer,UNKNOWN,SYBR,None,19.605066299438477,19.342300415039062,0.37160706520080566,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.4795897440390603,3.4796462059020996,3.0119268894195557,75.291862487792969,,,,Y,N,N,N,N
23,B11,FALSE,CRII2020_RRT_AcML34,A,UNKNOWN,SYBR,None,19.837326049804688,19.210235595703125,0.88683980703353882,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.45324460486957646,3.9433586597442627,3.5482139587402344,87.613861083984375,,,,Y,N,Y,N,N
24,B12,FALSE,CRII2020_RRT_AcML34,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0870680809020996,-0.0070893433876335621,74.846488952636719,,,,Y,Y,N,N,Y
25,C1,FALSE,CRII2020_RRT_AcML41,Acer,UNKNOWN,SYBR,None,20.30156135559082,19.738136291503906,0.79680335521697998,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.51358855811270254,3.7125310897827148,3.2052090167999268,75.143402099609375,,,,Y,N,Y,N,N
26,C2,FALSE,CRII2020_RRT_AcML41,A,UNKNOWN,SYBR,None,20.690338134765625,20.548393249511719,0.20073902606964111,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.43193117837169259,4.0357184410095215,3.6189446449279785,87.465408325195312,,,,Y,N,N,N,N
27,C3,FALSE,CRII2020_RRT_AcML41,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0882853269577026,-0.00023218963178806007,74.994949340820312,,,,Y,Y,N,N,Y
28,C4,FALSE,CRII2020_RRT_AcML41,Acer,UNKNOWN,SYBR,None,19.174711227416992,19.738136291503906,0.79680335521697998,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.25365814821728699,3.1662542819976807,2.8229286670684814,75.291862487792969,,,,Y,N,Y,N,N
29,C5,FALSE,CRII2020_RRT_AcML41,A,UNKNOWN,SYBR,None,20.406450271606445,20.548393249511719,0.20073902606964111,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.36315826321580935,3.9828121662139893,3.5080063343048096,87.613861083984375,,,,Y,N,N,N,N
30,C6,FALSE,CRII2020_RRT_AcML41,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0018569231033325,-0.0026761707849800587,75.440322875976562,,,,Y,Y,N,N,Y
31,C7,FALSE,CRII2020_RRT_AcML50,Acer,UNKNOWN,SYBR,None,18.90831184387207,19.253635406494141,0.48836126923561096,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.47350354736715983,3.6105282306671143,3.1773850917816162,75.143402099609375,,,,Y,N,N,N,N
32,C8,FALSE,CRII2020_RRT_AcML50,A,UNKNOWN,SYBR,None,19.287330627441406,19.671091079711914,0.54271924495697021,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.33516662786364892,3.8013899326324463,3.4275991916656494,87.613861083984375,,,,Y,N,Y,N,N
33,C9,FALSE,CRII2020_RRT_AcML50,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.98553794622421265,-0.00078179762931540608,77.370269775390625,,,,Y,Y,N,N,Y
34,C10,FALSE,CRII2020_RRT_AcML50,Acer,UNKNOWN,SYBR,None,19.598958969116211,19.253635406494141,0.48836126923561096,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.56405170828972828,3.5200021266937256,3.0809357166290283,75.291862487792969,,,,Y,N,N,N,N
35,C11,FALSE,CRII2020_RRT_AcML50,A,UNKNOWN,SYBR,None,20.054851531982422,19.671091079711914,0.54271924495697021,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.27261445236315374,4.0356178283691406,3.6699180603027344,87.910781860351562,,,,Y,N,Y,N,N
36,C12,FALSE,CRII2020_RRT_AcML50,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.093993067741394,-0.00045311881694942713,75.588775634765625,,,,Y,Y,N,N,Y
37,D1,FALSE,CRII2020_RRT_AcML63,Acer,UNKNOWN,SYBR,None,21.062702178955078,21.132011413574219,0.098018057644367218,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.53106670521127597,3.6346504688262939,3.2054359912872314,74.994949340820312,,,,Y,N,N,N,N
38,D2,FALSE,CRII2020_RRT_AcML63,A,UNKNOWN,SYBR,None,21.550874710083008,21.417814254760742,0.18817590177059174,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.56584788069979153,4.150944709777832,3.6469273567199707,87.465408325195312,,,,Y,N,N,N,N
39,D3,FALSE,CRII2020_RRT_AcML63,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0697076320648193,-0.001247597741894424,74.994949340820312,,,,Y,Y,N,N,Y
40,D4,FALSE,CRII2020_RRT_AcML63,Acer,UNKNOWN,SYBR,None,21.201320648193359,21.132011413574219,0.098018057644367218,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.55117108502145695,3.4140090942382812,3.0107488632202148,75.291862487792969,,,,Y,N,N,N,N
41,D5,FALSE,CRII2020_RRT_AcML63,A,UNKNOWN,SYBR,None,21.284753799438477,21.417814254760742,0.18817590177059174,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.44992130939899999,3.8572041988372803,3.4534716606140137,87.613861083984375,,,,Y,N,N,N,N
42,D6,FALSE,CRII2020_RRT_AcML63,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0468730926513672,0.00019040220649912953,76.182609558105469,,,,Y,Y,N,N,Y
43,D7,FALSE,CRII2020_RRT_AcML75,Acer,UNKNOWN,SYBR,None,18.889158248901367,18.91514778137207,0.036754749715328217,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.45456351697250613,3.3987784385681152,2.9949390888214111,75.291862487792969,,,,Y,N,N,N,N
44,D8,FALSE,CRII2020_RRT_AcML75,A,UNKNOWN,SYBR,None,18.906499862670898,19.13458251953125,0.32255759835243225,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.33590030513065405,3.9749031066894531,3.5842564105987549,87.613861083984375,,,,Y,N,N,N,N
45,D9,FALSE,CRII2020_RRT_AcML75,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.98110657930374146,0.00019858710584230721,77.667190551757812,,,,Y,Y,N,N,Y
46,D10,FALSE,CRII2020_RRT_AcML75,Acer,UNKNOWN,SYBR,None,18.941137313842773,18.91514778137207,0.036754749715328217,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.46596829955358821,3.4996416568756104,3.0561561584472656,75.291862487792969,,,,Y,N,N,N,N
47,D11,FALSE,CRII2020_RRT_AcML75,A,UNKNOWN,SYBR,None,19.362665176391602,19.13458251953125,0.32255759835243225,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.47864714796128233,3.9619486331939697,3.5855350494384766,87.465408325195312,,,,Y,N,N,N,N
48,D12,FALSE,CRII2020_RRT_AcML75,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0166432857513428,0.0024733273312449455,76.331069946289062,,,,Y,Y,N,N,Y
49,E1,FALSE,CRII2020_RRT_AcU15A,Acer,UNKNOWN,SYBR,None,19.426059722900391,19.649431228637695,0.31589502096176147,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.43805787348688352,3.9151179790496826,3.4532008171081543,74.994949340820312,,,,Y,N,N,N,N
50,E2,FALSE,CRII2020_RRT_AcU15A,A,UNKNOWN,SYBR,None,19.46112060546875,19.633993148803711,0.24447870254516602,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.34608595139364029,4.0216464996337891,3.6005525588989258,87.465408325195312,,,,Y,N,N,N,N
51,E3,FALSE,CRII2020_RRT_AcU15A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0143576860427856,-0.0054346290417015553,74.994949340820312,,,,Y,Y,N,N,Y
52,E4,FALSE,CRII2020_RRT_AcU15A,Acer,UNKNOWN,SYBR,None,19.872802734375,19.649431228637695,0.31589502096176147,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.4739377774975489,3.683171272277832,3.251533031463623,75.291862487792969,,,,Y,N,N,N,N
53,E5,FALSE,CRII2020_RRT_AcU15A,A,UNKNOWN,SYBR,None,19.806865692138672,19.633993148803711,0.24447870254516602,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.40812469197979351,3.7778284549713135,3.3809504508972168,87.613861083984375,,,,Y,N,N,N,N
54,E6,FALSE,CRII2020_RRT_AcU15A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0347214937210083,-0.0039414670318365097,75.291862487792969,,,,Y,Y,N,N,Y
55,E7,FALSE,CRII2020_RRT_AcU15B,Acer,UNKNOWN,SYBR,None,19.701614379882812,19.761209487915039,0.084280207753181458,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.48244876435507267,3.4090409278869629,3.0227417945861816,75.291862487792969,,,,Y,N,N,N,N
56,E8,FALSE,CRII2020_RRT_AcU15B,A,UNKNOWN,SYBR,None,18.531822204589844,18.647466659545898,0.16354595124721527,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.29851714010713076,3.9151420593261719,3.5259702205657959,87.613861083984375,,,,Y,N,N,N,N
57,E9,FALSE,CRII2020_RRT_AcU15B,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0275739431381226,-0.001614356879144907,78.409477233886719,,,,Y,Y,N,N,Y
58,E10,FALSE,CRII2020_RRT_AcU15B,Acer,UNKNOWN,SYBR,None,19.820804595947266,19.761209487915039,0.084280207753181458,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.49394236563692134,3.513397216796875,3.0548243522644043,75.291862487792969,,,,Y,N,N,N,N
59,E11,FALSE,CRII2020_RRT_AcU15B,A,UNKNOWN,SYBR,None,18.763111114501953,18.647466659545898,0.16354595124721527,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.32704439554385289,3.8574678897857666,3.4623675346374512,87.465408325195312,,,,Y,N,N,N,N
60,E12,FALSE,CRII2020_RRT_AcU15B,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,21,No Amp,,0,3.3930432796478271,-0.017137350514531136,60.000701904296875,,,,Y,N,N,N,N
61,F1,FALSE,CRII2020_RRT_AcU19,Acer,UNKNOWN,SYBR,None,21.567106246948242,21.030593872070312,0.7587430477142334,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.6001886744829199,3.0634667873382568,2.7368483543395996,74.846488952636719,,,,Y,N,Y,N,N
62,F2,FALSE,CRII2020_RRT_AcU19,A,UNKNOWN,SYBR,None,21.452764511108398,21.482564926147461,0.042144149541854858,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.38470067710014744,4.0737752914428711,3.705296516418457,87.465408325195312,,,,Y,N,N,N,N
63,F3,FALSE,CRII2020_RRT_AcU19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.042769193649292,-0.0033379159867763519,75.588775634765625,,,,Y,Y,N,N,Y
64,F4,FALSE,CRII2020_RRT_AcU19,Acer,UNKNOWN,SYBR,None,20.494081497192383,21.030593872070312,0.7587430477142334,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.33380660859162464,3.7394022941589355,3.3427331447601318,75.143402099609375,,,,Y,N,Y,N,N
65,F5,FALSE,CRII2020_RRT_AcU19,A,UNKNOWN,SYBR,None,21.512365341186523,21.482564926147461,0.042144149541854858,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.35431625377088422,3.9033734798431396,3.553762674331665,87.613861083984375,,,,Y,N,N,N,N
66,F6,FALSE,CRII2020_RRT_AcU19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0272252559661865,0.00063910568132996559,76.182609558105469,,,,Y,Y,N,N,Y
67,F7,FALSE,CRII2020_NEC1,Acer,UNKNOWN,SYBR,None,31.451301574707031,35.381065368652344,5.5575227737426758,,,,,,,,FALSE,0.01,TRUE,3,30,Amp,,0.74411527657515619,1.8737866878509521,1.5179710388183594,74.698028564453125,,,,Y,N,Y,N,N
68,F8,FALSE,CRII2020_NEC1,A,UNKNOWN,SYBR,None,36.242111206054688,32.372570037841797,5.4723577499389648,,,,,,,,FALSE,0.01,TRUE,3,35,No Amp,,0.63952561000368169,0.43877404928207397,0.11171253770589828,80.487884521484375,,,,Y,N,Y,N,N
69,F9,FALSE,CRII2020_NEC1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0069067478179932,-0.0036724940873682499,77.221817016601562,,,,Y,Y,N,N,Y
70,F10,FALSE,CRII2020_NEC1,Acer,UNKNOWN,SYBR,None,39.310825347900391,35.381065368652344,5.5575227737426758,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.36799353361129761,0.013661704026162624,75.737236022949219,87.910781860351562,92.809890747070312,64.305976867675781,Y,Y,Y,Y,Y
71,F11,FALSE,CRII2020_NEC1,A,UNKNOWN,SYBR,None,28.503028869628906,32.372570037841797,5.4723577499389648,,,,,,,,FALSE,0.01,TRUE,3,27,Amp,,0.27426849698496319,2.8713641166687012,2.5209672451019287,87.762321472167969,,,,Y,N,Y,N,N
72,F12,FALSE,CRII2020_NEC1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0552893877029419,0.0015047901542857289,76.776443481445312,,,,Y,Y,N,N,Y
73,G1,FALSE,CRII2020_RRT_AcU75,Acer,UNKNOWN,SYBR,None,18.981199264526367,19.273529052734375,0.41341540217399597,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.34540953188812035,4.0641598701477051,3.6236741542816162,74.994949340820312,,,,Y,N,N,N,N
74,G2,FALSE,CRII2020_RRT_AcU75,A,UNKNOWN,SYBR,None,19.57295036315918,19.669235229492188,0.1361687183380127,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.366261669739191,4.3739700317382812,3.928685188293457,87.465408325195312,,,,Y,N,N,N,N
75,G3,FALSE,CRII2020_RRT_AcU75,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1199908256530762,0.0014365589013323188,76.182609558105469,,,,Y,Y,N,N,Y
76,G4,FALSE,CRII2020_RRT_AcU75,Acer,UNKNOWN,SYBR,None,19.56585693359375,19.273529052734375,0.41341540217399597,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.51557395917953797,3.712010383605957,3.2714200019836426,75.291862487792969,,,,Y,N,N,N,N
77,G5,FALSE,CRII2020_RRT_AcU75,A,UNKNOWN,SYBR,None,19.765522003173828,19.669235229492188,0.1361687183380127,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.40003733963506311,3.9625473022460938,3.5936875343322754,87.613861083984375,,,,Y,N,N,N,N
78,G6,FALSE,CRII2020_RRT_AcU75,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0117950439453125,0.0020517429802566767,78.557937622070312,,,,Y,Y,N,N,Y
79,G7,FALSE,CRII2020_RRT_AcU93,Acer,UNKNOWN,SYBR,None,21.478420257568359,21.183734893798828,0.416748046875,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.51160978976946536,3.5382475852966309,3.1144635677337646,75.143402099609375,,,,Y,N,N,N,N
80,G8,FALSE,CRII2020_RRT_AcU93,A,UNKNOWN,SYBR,None,20.409099578857422,21.104286193847656,0.98314100503921509,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.33543015064481452,3.7677624225616455,3.430150032043457,87.613861083984375,,,,Y,N,Y,N,N
81,G9,FALSE,CRII2020_RRT_AcU93,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0203691720962524,0.0025848993100225925,76.034149169921875,,,,Y,Y,N,N,Y
