15,B3,FALSE,CRII2020_RRT_Ap16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.96603620052337646,-0.0044476264156401157,78.425285339355469,,,,Y,Y,N,N,Y
16,B4,FALSE,CRII2020_RRT_Ap16,Acer,UNKNOWN,SYBR,None,18.750717163085938,18.750404357910156,0.00044372203410603106,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.62679795001187422,2.6141729354858398,2.2598462104797363,75.624732971191406,,,,Y,N,N,N,N
17,B5,FALSE,CRII2020_RRT_Ap16,A,UNKNOWN,SYBR,None,22.150415420532227,22.342140197753906,0.27114114165306091,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.49367125399745543,3.8837339878082275,3.4435226917266846,87.711318969726562,,,,Y,N,N,N,N
18,B6,FALSE,CRII2020_RRT_Ap16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.92771625518798828,-0.0049822069704532623,76.951309204101562,,,,Y,Y,N,N,Y
19,B7,FALSE,CRII2020_RRT_Ap21,Acer,UNKNOWN,SYBR,None,17.798274993896484,18.479305267333984,0.96312224864959717,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.7441135080927771,2.687241792678833,2.2603347301483154,75.477333068847656,,,,Y,N,Y,N,N
20,B8,FALSE,CRII2020_RRT_Ap21,A,UNKNOWN,SYBR,None,21.444320678710938,21.924966812133789,0.67973625659942627,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.27627462255298096,3.7026071548461914,3.3450126647949219,87.711318969726562,,,,Y,N,Y,N,N
21,B9,FALSE,CRII2020_RRT_Ap21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.94321775436401367,-0.002167572733014822,77.098709106445312,,,,Y,Y,N,N,Y
22,B10,FALSE,CRII2020_RRT_Ap21,Acer,UNKNOWN,SYBR,None,19.160335540771484,18.479305267333984,0.96312224864959717,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.80605777704719805,2.5510146617889404,2.1247944831848145,75.624732971191406,,,,N,N,Y,N,N
23,B11,FALSE,CRII2020_RRT_Ap21,A,UNKNOWN,SYBR,None,22.405612945556641,21.924966812133789,0.67973625659942627,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.40847117870940702,3.6777958869934082,3.3261387348175049,87.563926696777344,,,,Y,N,Y,N,N
24,B12,FALSE,CRII2020_RRT_Ap21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0144498348236084,-0.0029301822651177645,73.708564758300781,,,,Y,Y,N,N,Y
25,C1,FALSE,CRII2020_RRT_Ap25,Acer,UNKNOWN,SYBR,None,19.636074066162109,19.548015594482422,0.12453213334083557,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.74013885676159041,2.6370694637298584,2.1580104827880859,75.329933166503906,,,,Y,N,N,N,N
26,C2,FALSE,CRII2020_RRT_Ap25,A,UNKNOWN,SYBR,None,22.488502502441406,22.645748138427734,0.22238026559352875,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.4187268659442922,3.5854198932647705,3.1636867523193359,87.563926696777344,,,,Y,N,N,N,N
27,C3,FALSE,CRII2020_RRT_Ap25,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0113110542297363,-0.0016999663785099983,74.00335693359375,,,,Y,Y,N,N,N
28,C4,FALSE,CRII2020_RRT_Ap25,Acer,UNKNOWN,SYBR,None,19.459959030151367,19.548015594482422,0.12453213334083557,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.67307746132234769,2.5493862628936768,2.195220947265625,75.477333068847656,,,,Y,N,N,N,N
29,C5,FALSE,CRII2020_RRT_Ap25,A,UNKNOWN,SYBR,None,22.802995681762695,22.645748138427734,0.22238026559352875,,,,,,,,FALSE,0.01,TRUE,3,22,Amp,,0.45865022018991131,3.7375547885894775,3.2374303340911865,87.711318969726562,,,,Y,N,N,N,N
30,C6,FALSE,CRII2020_RRT_Ap25,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.9294167160987854,-0.0027082196902483702,74.1507568359375,,,,Y,Y,N,N,N
31,C7,FALSE,CRII2020_RRT_Ap26,Acer,UNKNOWN,SYBR,None,19.632682800292969,19.637157440185547,0.0063294451683759689,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.61219487030539421,2.5327587127685547,2.2179591655731201,75.329933166503906,,,,Y,N,N,N,N
32,C8,FALSE,CRII2020_RRT_Ap26,A,UNKNOWN,SYBR,None,21.740625381469727,21.901588439941406,0.22763614356517792,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.3768976697881668,3.6738784313201904,3.3080904483795166,87.711318969726562,,,,Y,N,N,N,N
33,C9,FALSE,CRII2020_RRT_Ap26,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.91433995962142944,-0.00065298553090542555,75.919525146484375,,,,Y,Y,N,N,Y
34,C10,FALSE,CRII2020_RRT_Ap26,Acer,UNKNOWN,SYBR,None,19.641633987426758,19.637157440185547,0.0063294451683759689,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.69652946622662182,2.4891555309295654,2.1490600109100342,75.477333068847656,,,,Y,N,N,N,N
35,C11,FALSE,CRII2020_RRT_Ap26,A,UNKNOWN,SYBR,None,22.062551498413086,21.901588439941406,0.22763614356517792,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.43924107590310646,3.7354259490966797,3.3824265003204346,87.563926696777344,,,,Y,N,N,N,N
36,C12,FALSE,CRII2020_RRT_Ap26,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0181334018707275,0.0018197018653154373,77.68829345703125,,,,Y,Y,N,N,Y
37,D1,FALSE,CRII2020_RRT_Ap28,Acer,UNKNOWN,SYBR,None,17.115816116333008,17.430622100830078,0.44520288705825806,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.5281148296173318,2.6579039096832275,2.1379439830780029,75.329933166503906,,,,Y,N,N,N,N
38,D2,FALSE,CRII2020_RRT_Ap28,A,UNKNOWN,SYBR,None,20.663722991943359,20.899093627929688,0.33286568522453308,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.5077144463994494,3.8027942180633545,3.2002022266387939,87.563926696777344,,,,Y,N,N,N,N
39,D3,FALSE,CRII2020_RRT_Ap28,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.99181050062179565,-0.0040044584311544895,74.00335693359375,,,,Y,Y,N,N,Y
40,D4,FALSE,CRII2020_RRT_Ap28,Acer,UNKNOWN,SYBR,None,17.745428085327148,17.430622100830078,0.44520288705825806,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.73806961961257089,2.2591149806976318,1.7763336896896362,75.477333068847656,,,,Y,N,N,N,N
41,D5,FALSE,CRII2020_RRT_Ap28,A,UNKNOWN,SYBR,None,21.134466171264648,20.899093627929688,0.33286568522453308,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.49565049721660709,3.7621588706970215,3.267899751663208,87.563926696777344,,,,Y,N,N,N,N
42,D6,FALSE,CRII2020_RRT_Ap28,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.9660302996635437,-0.0048787579871714115,75.035140991210938,,,,Y,Y,N,N,Y
43,D7,FALSE,CRII2020_RRT_Ap150,Acer,UNKNOWN,SYBR,None,18.45503044128418,18.554801940917969,0.14109820127487183,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.59762004525850854,2.4922449588775635,2.152031421661377,75.477333068847656,,,,Y,N,N,N,N
44,D8,FALSE,CRII2020_RRT_Ap150,A,UNKNOWN,SYBR,None,22.536975860595703,22.549110412597656,0.017162196338176727,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.48864751146068564,3.5784115791320801,3.1788110733032227,87.711318969726562,,,,Y,N,N,N,N
45,D9,FALSE,CRII2020_RRT_Ap150,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.89501410722732544,-0.0036637503653764725,78.720077514648438,,,,Y,Y,N,N,Y
46,D10,FALSE,CRII2020_RRT_Ap150,Acer,UNKNOWN,SYBR,None,18.654573440551758,18.554801940917969,0.14109820127487183,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.60192880923201442,2.4868922233581543,2.1248421669006348,75.477333068847656,,,,Y,N,N,N,N
47,D11,FALSE,CRII2020_RRT_Ap150,A,UNKNOWN,SYBR,None,22.561246871948242,22.549110412597656,0.017162196338176727,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.45998391245267056,3.511887788772583,3.1524403095245361,87.416526794433594,,,,Y,N,N,N,N
48,D12,FALSE,CRII2020_RRT_Ap150,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.98261892795562744,-0.00068397214636206627,74.00335693359375,,,,Y,Y,N,N,Y
49,E1,FALSE,CRII2020_RRT_Ap153,Acer,UNKNOWN,SYBR,None,16.924562454223633,17.266132354736328,0.48305413126945496,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.48398120416528773,2.7419724464416504,2.2929375171661377,75.329933166503906,,,,Y,N,N,N,N
50,E2,FALSE,CRII2020_RRT_Ap153,A,UNKNOWN,SYBR,None,20.07890510559082,19.960403442382812,0.167588010430336,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.38865887657605214,4.1076774597167969,3.5926203727722168,87.416526794433594,,,,Y,N,N,N,N
51,E3,FALSE,CRII2020_RRT_Ap153,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.94466698169708252,-0.0010563948890194297,74.592948913574219,,,,Y,Y,N,N,Y
52,E4,FALSE,CRII2020_RRT_Ap153,Acer,UNKNOWN,SYBR,None,17.607704162597656,17.266132354736328,0.48305413126945496,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.61724238645317409,2.6949491500854492,2.2913835048675537,75.477333068847656,,,,Y,N,N,N,N
53,E5,FALSE,CRII2020_RRT_Ap153,A,UNKNOWN,SYBR,None,19.841899871826172,19.960403442382812,0.167588010430336,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.32291321105525073,3.7694392204284668,3.3106670379638672,87.563926696777344,,,,Y,N,N,N,N
54,E6,FALSE,CRII2020_RRT_Ap153,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.96205681562423706,-0.0075638755224645138,75.329933166503906,,,,Y,Y,N,N,Y
55,E7,FALSE,CRII2020_RRT_Ap154,Acer,UNKNOWN,SYBR,None,17.999542236328125,18.248291015625,0.35178256034851074,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.55160444316329882,2.4776630401611328,2.1124858856201172,75.477333068847656,,,,Y,N,N,N,N
56,E8,FALSE,CRII2020_RRT_Ap154,A,UNKNOWN,SYBR,None,21.24749755859375,21.177642822265625,0.098789513111114502,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.50204016395977091,3.6271698474884033,3.1814944744110107,87.563926696777344,,,,Y,N,N,N,N
57,E9,FALSE,CRII2020_RRT_Ap154,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.95637357234954834,-0.00022021742188371718,77.393501281738281,,,,Y,Y,N,N,Y
58,E10,FALSE,CRII2020_RRT_Ap154,Acer,UNKNOWN,SYBR,None,18.497037887573242,18.248291015625,0.35178256034851074,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.69442359563273348,2.5139522552490234,2.1286952495574951,75.477333068847656,,,,Y,N,N,N,N
59,E11,FALSE,CRII2020_RRT_Ap154,A,UNKNOWN,SYBR,None,21.1077880859375,21.177642822265625,0.098789513111114502,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.44338823984259434,3.6194155216217041,3.1721870899200439,87.563926696777344,,,,Y,N,N,N,N
60,E12,FALSE,CRII2020_RRT_Ap154,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,3.3044295310974121,-0.030105749145150185,60.000598907470703,,,,Y,Y,N,N,N
61,F1,FALSE,CRII2020_RRT_Ap155,Acer,UNKNOWN,SYBR,None,17.372825622558594,18.099191665649414,1.0272367000579834,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.53016267071949241,2.6705515384674072,2.2481174468994141,75.182540893554688,,,,Y,N,Y,N,N
62,F2,FALSE,CRII2020_RRT_Ap155,A,UNKNOWN,SYBR,None,21.354145050048828,21.123130798339844,0.32670482993125916,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.42558631002803848,4.0658092498779297,3.6405727863311768,87.563926696777344,,,,Y,N,N,N,N
63,F3,FALSE,CRII2020_RRT_Ap155,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.96678555011749268,-0.004714461974799633,74.740341186523438,,,,Y,Y,N,N,Y
64,F4,FALSE,CRII2020_RRT_Ap155,Acer,UNKNOWN,SYBR,None,18.825557708740234,18.099191665649414,1.0272367000579834,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.66902952990182452,2.6516163349151611,2.2665910720825195,75.477333068847656,,,,Y,N,Y,N,N
65,F5,FALSE,CRII2020_RRT_Ap155,A,UNKNOWN,SYBR,None,20.892114639282227,21.123130798339844,0.32670482993125916,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.38674076906750077,3.3455379009246826,2.8615005016326904,87.563926696777344,,,,Y,N,N,N,N
66,F6,FALSE,CRII2020_RRT_Ap155,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.94885826110839844,0.00020868472347501665,76.066925048828125,,,,Y,Y,N,N,Y
67,F7,FALSE,CRII2020_RRT_Ap156,Acer,UNKNOWN,SYBR,None,17.225048065185547,17.514129638671875,0.40882444381713867,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.5750801360260821,2.5085105895996094,2.1185367107391357,75.477333068847656,,,,Y,N,N,N,N
68,F8,FALSE,CRII2020_RRT_Ap156,A,UNKNOWN,SYBR,None,20.194095611572266,20.034465789794922,0.22575065493583679,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.38777170834212688,3.4819183349609375,3.0690138339996338,87.563926696777344,,,,Y,N,N,N,N
69,F9,FALSE,CRII2020_RRT_Ap156,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.93515634536743164,-0.00094386667478829622,76.656509399414062,,,,Y,Y,N,N,Y
70,F10,FALSE,CRII2020_RRT_Ap156,Acer,UNKNOWN,SYBR,None,17.803213119506836,17.514129638671875,0.40882444381713867,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.68366715550497292,2.7844367027282715,2.3850717544555664,75.477333068847656,,,,Y,N,N,N,N
71,F11,FALSE,CRII2020_RRT_Ap156,A,UNKNOWN,SYBR,None,19.874835968017578,20.034465789794922,0.22575065493583679,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.32644299075437194,3.7191226482391357,3.2554638385772705,87.563926696777344,,,,Y,N,N,N,N
72,F12,FALSE,CRII2020_RRT_Ap156,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.9671013355255127,0.00038189554470591247,73.85595703125,,,,Y,Y,N,N,Y
73,G1,FALSE,CRII2020_RRT_Ap157,Acer,UNKNOWN,SYBR,None,17.041500091552734,17.241718292236328,0.28314995765686035,,,,,,,,FALSE,0.01,TRUE,3,15,Amp,,0.5469220617817796,3.1047787666320801,2.6705641746520996,75.182540893554688,,,,Y,N,N,N,N
74,G2,FALSE,CRII2020_RRT_Ap157,A,UNKNOWN,SYBR,None,19.985929489135742,20.130203247070312,0.20403525233268738,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.43711400660819866,4.0669598579406738,3.5932381153106689,87.416526794433594,,,,Y,N,N,N,N
75,G3,FALSE,CRII2020_RRT_Ap157,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.037799596786499,-0.0011267726076766849,75.919525146484375,,,,Y,Y,N,N,Y
76,G4,FALSE,CRII2020_RRT_Ap157,Acer,UNKNOWN,SYBR,None,17.441934585571289,17.241718292236328,0.28314995765686035,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.61765179879327248,2.6922705173492432,2.2859559059143066,75.477333068847656,,,,Y,N,N,N,N
77,G5,FALSE,CRII2020_RRT_Ap157,A,UNKNOWN,SYBR,None,20.274478912353516,20.130203247070312,0.20403525233268738,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.49840170089931674,3.6994023323059082,3.296755313873291,87.563926696777344,,,,Y,N,N,N,N
78,G6,FALSE,CRII2020_RRT_Ap157,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.93196040391921997,-0.0018291682936251163,78.130485534667969,,,,Y,Y,N,N,Y
79,G7,FALSE,CRII2020_RRT_Ap159,Acer,UNKNOWN,SYBR,None,17.581235885620117,17.195278167724609,0.54582798480987549,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.67374397630929839,2.5267660617828369,2.126140832901001,75.477333068847656,,,,Y,N,Y,N,N
80,G8,FALSE,CRII2020_RRT_Ap159,A,UNKNOWN,SYBR,None,19.818925857543945,20.606899261474609,1.1143627166748047,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.3732215694845728,3.6062197685241699,3.1562976837158203,87.711318969726562,,,,Y,N,Y,N,N
81,G9,FALSE,CRII2020_RRT_Ap159,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.93726086616516113,0.00038848535041324794,76.361717224121094,,,,Y,Y,N,N,Y
