Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,F11,FALSE,CRII2020_FWC_AcFM5,A,UNKNOWN,SYBR,None,20.62864875793457,20.456504821777344,0.243446946144104,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.48425533224874634,4.4145307540893555,3.9554743766784668,87.571022033691406,,,,Y,N,N,N,N,N
72,F12,FALSE,CRII2020_FWC_AcFM5,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0309044122695923,0.0025058772880584002,74.59722900390625,,,,Y,Y,N,N,N,Y
73,G1,FALSE,CRII2020_FWC_AcFM6,Acer,UNKNOWN,SYBR,None,17.085941314697266,16.7950439453125,0.41139236092567444,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.44514030375004521,4.6663899421691895,4.0830864906311035,75.039512634277344,,,,Y,N,N,N,N,N
74,G2,FALSE,CRII2020_FWC_AcFM6,A,UNKNOWN,SYBR,None,19.37379264831543,19.507484436035156,0.18907009065151215,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.28053262312128108,4.9849867820739746,4.4253649711608887,87.423591613769531,,,,Y,N,N,N,N,N
75,G3,FALSE,CRII2020_FWC_AcFM6,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0889033079147339,-0.00062361278105527163,75.629226684570312,,,,Y,Y,N,N,N,Y
76,G4,FALSE,CRII2020_FWC_AcFM6,Acer,UNKNOWN,SYBR,None,16.504144668579102,16.7950439453125,0.41139236092567444,,,,,,,,FALSE,0.01,TRUE,3,15,Amp,,0.35276180868249613,4.3788652420043945,3.7873706817626953,75.334373474121094,,,,Y,N,N,N,N,N
77,G5,FALSE,CRII2020_FWC_AcFM6,A,UNKNOWN,SYBR,None,19.641178131103516,19.507484436035156,0.18907009065151215,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.29367608592523126,4.5067529678344727,4.0268969535827637,87.571022033691406,,,,Y,N,N,N,N,N
78,G6,FALSE,CRII2020_FWC_AcFM6,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.98833554983139038,0.0022043380886316299,78.135528564453125,,,,Y,Y,N,N,N,Y
79,G7,FALSE,CRII2020_FWC_AcFM9,Acer,UNKNOWN,SYBR,None,18.402667999267578,18.461624145507812,0.083376578986644745,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.434321019421335,4.0214853286743164,3.5386173725128174,75.186943054199219,,,,Y,N,N,N,N,N
80,G8,FALSE,CRII2020_FWC_AcFM9,A,UNKNOWN,SYBR,None,20.906061172485352,20.782169342041016,0.17521084845066071,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.34220444797416238,4.3877310752868652,3.964177131652832,87.718452453613281,,,,Y,N,N,N,N,N
81,G9,FALSE,CRII2020_FWC_AcFM9,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.99358344078063965,-4.191011976217851e-05,76.071517944335938,,,,Y,Y,N,N,N,Y
82,G10,FALSE,CRII2020_FWC_AcFM9,Acer,UNKNOWN,SYBR,None,18.520580291748047,18.461624145507812,0.083376578986644745,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.46479643594157577,4.0968775749206543,3.5933859348297119,75.186943054199219,,,,Y,N,N,N,N,N
83,G11,FALSE,CRII2020_FWC_AcFM9,A,UNKNOWN,SYBR,None,20.658275604248047,20.782169342041016,0.17521084845066071,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.44373367354992099,4.091590404510498,3.6572492122650146,87.571022033691406,,,,Y,N,N,N,N,N
84,G12,FALSE,CRII2020_FWC_AcFM9,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,23,No Amp,,0,1.0399360656738281,-0.00024149056116584688,60.001701354980469,,,,Y,N,N,N,N,Y
85,H1,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.55245357751846313,-0.0029385522939264774,87.571022033691406,90.667037963867188,72.533210754394531,79.16754150390625,Y,Y,N,N,Y,Y
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.44384539127349854,-0.0017326216911897063,82.853279113769531,88.160736083984375,73.1229248046875,77.398384094238281,Y,Y,N,N,Y,Y
87,H3,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1292378902435303,0.00080787332262843847,77.545814514160156,,,,Y,Y,N,N,N,Y
88,H4,FALSE,CRII2020_FWC_AcFM12,Acer,UNKNOWN,SYBR,None,18.557844161987305,18.486488342285156,0.10091236978769302,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.33251888008576563,4.5112543106079102,4.0123701095581055,75.186943054199219,,,,Y,N,N,N,N,N
89,H5,FALSE,CRII2020_FWC_AcFM12,A,UNKNOWN,SYBR,None,21.178188323974609,21.018577575683594,0.22572503983974457,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.44899766361729515,4.7049417495727539,4.2335343360900879,87.718452453613281,,,,Y,N,N,N,N,N
90,H6,FALSE,CRII2020_FWC_AcFM12,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.9930761456489563,-0.0049182763323187828,77.250953674316406,,,,Y,Y,N,N,N,Y
91,H7,FALSE,CRII2020_FWC_AcFM12,Acer,UNKNOWN,SYBR,None,18.415132522583008,18.486488342285156,0.10091236978769302,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.27539554895939522,4.2530508041381836,3.7875299453735352,75.186943054199219,,,,Y,N,N,N,N,N
92,H8,FALSE,CRII2020_FWC_AcFM12,A,UNKNOWN,SYBR,None,20.858964920043945,21.018577575683594,0.22572503983974457,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.30702062786622436,4.5201358795166016,4.074948787689209,87.718452453613281,,,,Y,N,N,N,N,N
93,H9,FALSE,CRII2020_FWC_AcFM12,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0107870101928711,0.0022314905654639006,77.250953674316406,,,,Y,Y,N,N,N,Y
94,H10,FALSE,+,Acer,UNKNOWN,SYBR,None,19.333581924438477,19.333581924438477,,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.38062820172569012,4.0819716453552246,3.729738712310791,75.186943054199219,,,,Y,N,N,N,N,N
95,H11,FALSE,+,A,UNKNOWN,SYBR,None,13.572053909301758,13.572053909301758,,,,,,,,,FALSE,0.01,TRUE,3,13,Amp,,0.37120654678155834,4.6710934638977051,4.255612850189209,87.571022033691406,,,,Y,N,N,N,N,N
96,H12,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,15.649135589599609,15.649135589599609,,,,,,,,,FALSE,0.01,TRUE,3,14,Amp,,0.43765227039253768,4.6847896575927734,3.0065798759460449,60.001701354980469,,,,Y,N,N,N,N,N
