14,B2,FALSE,CRII2020_FWC_AcFM14,A,UNKNOWN,SYBR,None,20.860074996948242,20.314594268798828,0.77142626047134399,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.58859992481666712,4.290705680847168,3.7407493591308594,87.558296203613281,,,,Y,N,Y,N,N,N
15,B3,FALSE,CRII2020_FWC_AcFM14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.026792049407959,-0.00072815665043890476,76.063262939453125,,,,Y,Y,N,N,N,Y
16,B4,FALSE,CRII2020_FWC_AcFM14,Acer,UNKNOWN,SYBR,None,16.963455200195312,17.245269775390625,0.39854735136032104,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.32360955625960558,4.0932760238647461,3.6029198169708252,75.473777770996094,,,,Y,N,N,N,N,N
17,B5,FALSE,CRII2020_FWC_AcFM14,A,UNKNOWN,SYBR,None,19.769113540649414,20.314594268798828,0.77142626047134399,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.38877892992457219,4.4239006042480469,3.8991820812225342,87.705665588378906,,,,Y,N,Y,N,N,N
18,B6,FALSE,CRII2020_FWC_AcFM14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.97811561822891235,-0.0030136439017951488,76.947494506835938,,,,Y,Y,N,N,N,Y
19,B7,FALSE,CRII2020_FWC_AcFM19,Acer,UNKNOWN,SYBR,None,20.220331192016602,20.029300689697266,0.27015793323516846,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.49993514606926126,3.9931700229644775,3.5321006774902344,75.179031372070312,,,,Y,N,N,N,N,N
20,B8,FALSE,CRII2020_FWC_AcFM19,A,UNKNOWN,SYBR,None,21.17173957824707,21.566890716552734,0.55882811546325684,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.30875829828983242,4.2904376983642578,3.8932137489318848,87.705665588378906,,,,Y,N,Y,N,N,N
21,B9,FALSE,CRII2020_FWC_AcFM19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0014287233352661,-0.0033841775730252266,76.947494506835938,,,,Y,Y,N,N,N,Y
22,B10,FALSE,CRII2020_FWC_AcFM19,Acer,UNKNOWN,SYBR,None,19.83827018737793,20.029300689697266,0.27015793323516846,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.39361902173979652,4.0105500221252441,3.4908237457275391,75.326400756835938,,,,Y,N,N,N,N,N
23,B11,FALSE,CRII2020_FWC_AcFM19,A,UNKNOWN,SYBR,None,21.962041854858398,21.566890716552734,0.55882811546325684,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.48613360088390883,4.2593374252319336,3.8388140201568604,87.558296203613281,,,,Y,N,Y,N,N,N
24,B12,FALSE,CRII2020_FWC_AcFM19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0737234354019165,-0.00016957092157099396,74.58953857421875,,,,Y,Y,N,N,N,Y
25,C1,FALSE,CRII2020_FWC_AcFM20,Acer,UNKNOWN,SYBR,None,18.958614349365234,18.882272720336914,0.10796336829662323,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.5123312566968381,4.3425483703613281,3.7344334125518799,75.179031372070312,,,,Y,N,N,N,N,N
26,C2,FALSE,CRII2020_FWC_AcFM20,A,UNKNOWN,SYBR,None,21.573572158813477,21.658269882202148,0.11978066712617874,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.3379222881528342,4.5651021003723145,4.0786781311035156,87.558296203613281,,,,Y,N,N,N,N,N
27,C3,FALSE,CRII2020_FWC_AcFM20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0524921417236328,-0.0021387552842497826,75.473777770996094,,,,Y,Y,N,N,N,Y
28,C4,FALSE,CRII2020_FWC_AcFM20,Acer,UNKNOWN,SYBR,None,18.805931091308594,18.882272720336914,0.10796336829662323,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.43631502773120789,3.9858946800231934,3.5170607566833496,75.326400756835938,,,,Y,N,N,N,N,N
29,C5,FALSE,CRII2020_FWC_AcFM20,A,UNKNOWN,SYBR,None,21.74296760559082,21.658269882202148,0.11978066712617874,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.34391623856741899,4.1654019355773926,3.644352912902832,87.558296203613281,,,,Y,N,N,N,N,N
30,C6,FALSE,CRII2020_FWC_AcFM20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.9830138087272644,-0.0044863531365990639,74.442169189453125,,,,Y,Y,N,N,N,Y
31,C7,FALSE,CRII2020_FWC_AcML1,Acer,UNKNOWN,SYBR,None,18.485317230224609,18.378940582275391,0.15044064819812775,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.43688223947337673,3.9887557029724121,3.5356419086456299,75.179031372070312,,,,Y,N,N,N,N,N
32,C8,FALSE,CRII2020_FWC_AcML1,A,UNKNOWN,SYBR,None,20.012151718139648,20.088090896606445,0.10739421844482422,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.33575293808389728,4.1827540397644043,3.768625020980835,87.705665588378906,,,,Y,N,N,N,N,N
33,C9,FALSE,CRII2020_FWC_AcML1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.95933127403259277,-0.0011080392869189382,77.684356689453125,,,,Y,Y,N,N,N,Y
34,C10,FALSE,CRII2020_FWC_AcML1,Acer,UNKNOWN,SYBR,None,18.272562026977539,18.378940582275391,0.15044064819812775,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.40935028002571017,3.8631579875946045,3.3795933723449707,75.326400756835938,,,,Y,N,N,N,N,N
35,C11,FALSE,CRII2020_FWC_AcML1,A,UNKNOWN,SYBR,None,20.164030075073242,20.088090896606445,0.10739421844482422,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.31721835304902085,4.3311867713928223,3.8997287750244141,87.558296203613281,,,,Y,N,N,N,N,N
36,C12,FALSE,CRII2020_FWC_AcML1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0756045579910278,-0.0020925574935972691,76.063262939453125,,,,Y,Y,N,N,N,Y
37,D1,FALSE,CRII2020_FWC_AcML3,Acer,UNKNOWN,SYBR,None,19.14887809753418,18.989002227783203,0.22609996795654297,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.52769510833280542,4.1346478462219238,3.632451057434082,75.031661987304688,,,,Y,N,N,N,N,N
38,D2,FALSE,CRII2020_FWC_AcML3,A,UNKNOWN,SYBR,None,21.630950927734375,21.431407928466797,0.28219506144523621,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.3748257837595651,4.5587296485900879,3.9900243282318115,87.410919189453125,,,,Y,N,N,N,N,N
39,D3,FALSE,CRII2020_FWC_AcML3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0361423492431641,0.00049395579844713211,74.884284973144531,,,,Y,Y,N,N,N,Y
40,D4,FALSE,CRII2020_FWC_AcML3,Acer,UNKNOWN,SYBR,None,18.829124450683594,18.989002227783203,0.22609996795654297,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.424930627755914,4.0940542221069336,3.6193130016326904,75.326400756835938,,,,Y,N,N,N,N,N
41,D5,FALSE,CRII2020_FWC_AcML3,A,UNKNOWN,SYBR,None,21.231866836547852,21.431407928466797,0.28219506144523621,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.30916570514341435,4.1709480285644531,3.6985607147216797,87.558296203613281,,,,Y,N,N,N,N,N
42,D6,FALSE,CRII2020_FWC_AcML3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.035290002822876,0.0030749088618904352,75.473777770996094,,,,Y,Y,N,N,N,N
43,D7,FALSE,CRII2020_FWC_AcML5,Acer,UNKNOWN,SYBR,None,19.080490112304688,18.956300735473633,0.17563030123710632,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.49076158980779133,3.8895382881164551,3.4153974056243896,75.179031372070312,,,,Y,N,N,N,N,N
44,D8,FALSE,CRII2020_FWC_AcML5,A,UNKNOWN,SYBR,None,20.335054397583008,20.142593383789062,0.27218097448348999,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.53393140511669268,4.0509977340698242,3.5101866722106934,87.705665588378906,,,,Y,N,N,N,N,N
45,D9,FALSE,CRII2020_FWC_AcML5,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,33.945755004882812,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.95539277791976929,0.0022708440665155649,76.505378723144531,,,,Y,Y,N,N,N,Y
46,D10,FALSE,CRII2020_FWC_AcML5,Acer,UNKNOWN,SYBR,None,18.832111358642578,18.956300735473633,0.17563030123710632,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.42440121252420993,3.8223090171813965,3.3276398181915283,75.326400756835938,,,,Y,N,N,N,N,N
47,D11,FALSE,CRII2020_FWC_AcML5,A,UNKNOWN,SYBR,None,19.950132369995117,20.142593383789062,0.27218097448348999,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.37643288216048726,4.1936321258544922,3.7489550113677979,87.410919189453125,,,,Y,N,N,N,N,N
48,D12,FALSE,CRII2020_FWC_AcML5,D,UNKNOWN,FAM,NFQ-MGB,33.945755004882812,33.945755004882812,,,,,,,,,FALSE,0.01,TRUE,3,32,Inconclusive,,0.87715827817689995,1.4880155324935913,0.44797301292419434,74.884284973144531,,,,N,N,N,N,N,N
49,E1,FALSE,CRII2020_FWC_AcML7,Acer,UNKNOWN,SYBR,None,19.477727890014648,19.792133331298828,0.44463643431663513,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.34874995080529214,4.4359550476074219,3.9688973426818848,75.031661987304688,,,,Y,N,N,N,N,N
50,E2,FALSE,CRII2020_FWC_AcML7,A,UNKNOWN,SYBR,None,22.023584365844727,22.222183227539062,0.28085985779762268,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.36282560996228375,4.0836381912231445,3.6209681034088135,87.410919189453125,,,,Y,N,N,N,N,N
51,E3,FALSE,CRII2020_FWC_AcML7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.99588966369628906,-0.0024193986319005489,75.179031372070312,,,,Y,Y,N,N,N,Y
52,E4,FALSE,CRII2020_FWC_AcML7,Acer,UNKNOWN,SYBR,None,20.106538772583008,19.792133331298828,0.44463643431663513,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.45606778783654722,4.2053885459899902,3.7416040897369385,75.326400756835938,,,,Y,N,N,N,N,N
53,E5,FALSE,CRII2020_FWC_AcML7,A,UNKNOWN,SYBR,None,22.420780181884766,22.222183227539062,0.28085985779762268,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.39966885702627375,4.0139446258544922,3.6327114105224609,87.558296203613281,,,,Y,N,N,N,N,N
54,E6,FALSE,CRII2020_FWC_AcML7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0064029693603516,-0.005260850302875042,75.031661987304688,,,,Y,Y,N,N,N,Y
55,E7,FALSE,CRII2020_FWC_AcML31,Acer,UNKNOWN,SYBR,None,18.420841217041016,18.44805908203125,0.038491874933242798,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.46240755668737921,3.9166345596313477,3.4433953762054443,75.326400756835938,,,,Y,N,N,N,N,N
56,E8,FALSE,CRII2020_FWC_AcML31,A,UNKNOWN,SYBR,None,19.686637878417969,19.988304138183594,0.42662051320075989,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.31630186598944743,4.3906798362731934,3.9243123531341553,87.705665588378906,,,,Y,N,N,N,N,N
57,E9,FALSE,CRII2020_FWC_AcML31,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0048258304595947,-0.0020122486166656017,77.389617919921875,,,,Y,Y,N,N,N,Y
58,E10,FALSE,CRII2020_FWC_AcML31,Acer,UNKNOWN,SYBR,None,18.475276947021484,18.44805908203125,0.038491874933242798,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.42735571279768336,3.8760969638824463,3.3938143253326416,75.326400756835938,,,,Y,N,N,N,N,N
59,E11,FALSE,CRII2020_FWC_AcML31,A,UNKNOWN,SYBR,None,20.289970397949219,19.988304138183594,0.42662051320075989,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.31551139438199427,4.078768253326416,3.5927770137786865,87.558296203613281,,,,Y,N,N,N,N,N
60,E12,FALSE,CRII2020_FWC_AcML31,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,3.2577304840087891,0.001735208323225379,59.999698638916016,,,,Y,Y,N,N,N,N
61,F1,FALSE,CRII2020_FWC_AcML34,Acer,UNKNOWN,SYBR,None,19.836627960205078,19.932014465332031,0.13489553332328796,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.40683247525610694,4.3361659049987793,3.8655586242675781,75.031661987304688,,,,Y,N,N,N,N,N
62,F2,FALSE,CRII2020_FWC_AcML34,A,UNKNOWN,SYBR,None,21.688224792480469,22.121963500976562,0.61339914798736572,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.31625279222047137,4.515470027923584,4.0592975616455078,87.410919189453125,,,,Y,N,Y,N,N,N
63,F3,FALSE,CRII2020_FWC_AcML34,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0137929916381836,0.00071525922976434231,75.031661987304688,,,,Y,Y,N,N,N,Y
64,F4,FALSE,CRII2020_FWC_AcML34,Acer,UNKNOWN,SYBR,None,20.027399063110352,19.932014465332031,0.13489553332328796,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.42206716044523063,4.3081026077270508,3.8172619342803955,75.179031372070312,,,,Y,N,N,N,N,N
65,F5,FALSE,CRII2020_FWC_AcML34,A,UNKNOWN,SYBR,None,22.555702209472656,22.121963500976562,0.61339914798736572,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.48177718729185881,4.2016534805297852,3.7804367542266846,87.558296203613281,,,,Y,N,Y,N,N,N
66,F6,FALSE,CRII2020_FWC_AcML34,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0050549507141113,0.00036103554884903133,76.652755737304688,,,,Y,Y,N,N,N,Y
67,F7,FALSE,CRII2020_FWC_AcML41,Acer,UNKNOWN,SYBR,None,18.35993766784668,18.777000427246094,0.58981716632843018,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.46047482494802211,3.9873542785644531,3.5290069580078125,75.179031372070312,,,,Y,N,Y,N,N,N
68,F8,FALSE,CRII2020_FWC_AcML41,A,UNKNOWN,SYBR,None,14.703522682189941,18.101043701171875,4.8048195838928223,,,,,,,,FALSE,0.01,TRUE,3,14,Amp,,0.11289663150564433,4.1598577499389648,3.1904067993164062,87.558296203613281,,,,Y,N,Y,N,N,N
69,F9,FALSE,CRII2020_FWC_AcML41,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.99729704856872559,-0.0046086907386779785,76.800125122070312,,,,Y,Y,N,N,N,Y
70,F10,FALSE,CRII2020_FWC_AcML41,Acer,UNKNOWN,SYBR,None,19.194065093994141,18.777000427246094,0.58981716632843018,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.4346676430831245,4.0269646644592285,3.5889554023742676,75.179031372070312,,,,Y,N,Y,N,N,N
71,F11,FALSE,CRII2020_FWC_AcML41,A,UNKNOWN,SYBR,None,21.498563766479492,18.101043701171875,4.8048195838928223,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.45576049613133057,4.1450457572937012,3.7299923896789551,87.558296203613281,,,,Y,N,Y,N,N,N
72,F12,FALSE,CRII2020_FWC_AcML41,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0178720951080322,-0.0048340992070734501,75.326400756835938,,,,Y,Y,N,N,N,N
73,G1,FALSE,CRII2020_FWC_AcML50,Acer,UNKNOWN,SYBR,None,22.173833847045898,22.067699432373047,0.15009672939777374,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.51556896565246568,4.5470514297485352,4.0458216667175293,74.884284973144531,,,,Y,N,N,N,N,N
74,G2,FALSE,CRII2020_FWC_AcML50,A,UNKNOWN,SYBR,None,19.808071136474609,20.107242584228516,0.4230923056602478,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.28529411647594644,4.8065247535705566,4.316075325012207,87.410919189453125,,,,Y,N,N,N,N,N
75,G3,FALSE,CRII2020_FWC_AcML50,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0928577184677124,-0.0050598727539181709,75.326400756835938,,,,Y,Y,N,N,N,Y
76,G4,FALSE,CRII2020_FWC_AcML50,Acer,UNKNOWN,SYBR,None,21.961565017700195,22.067699432373047,0.15009672939777374,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.46898876541514256,4.1575651168823242,3.6804020404815674,75.179031372070312,,,,Y,N,N,N,N,N
77,G5,FALSE,CRII2020_FWC_AcML50,A,UNKNOWN,SYBR,None,20.406414031982422,20.107242584228516,0.4230923056602478,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.38358984798559514,4.1967816352844238,3.8024730682373047,87.558296203613281,,,,Y,N,N,N,N,N
78,G6,FALSE,CRII2020_FWC_AcML50,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.98850458860397339,-0.002346122870221734,78.126480102539062,,,,Y,Y,N,N,N,Y
79,G7,FALSE,CRII2020_FWC_AcML57,Acer,UNKNOWN,SYBR,None,19.705810546875,19.773666381835938,0.095963992178440094,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.43091137657280004,3.9783518314361572,3.5156319141387939,75.179031372070312,,,,Y,N,N,N,N,N
